Drill Listing
=============
Drill: .01575  Tool: 1  Feed: 95  Speed: 300
X 161417  Y 259448
X 148425  Y 240157
X 129921  Y 240157
X 147637  Y 340551
X 158661  Y 331496
X 261811  Y 277559
X 389370  Y 331102
X 431496  Y 333464
X 483070  Y 277559
X 521259  Y 327165
X 548818  Y 331102
X 558661  Y 295669
X 563779  Y 336220
X 577559  Y 287795
X 586614  Y 278740
X 598031  Y 324015
X 619685  Y 278740
X 636614  Y 323622
X 652755  Y 331102
X 659055  Y 278740
X 666141  Y 317716
X 669685  Y 296062
X 670078  Y 322440
X 678740  Y 336220
X 688188  Y 268110
X 708267  Y 329921
X 716929  Y 314960
X 724409  Y 364173
X 687401  Y 364173
X 670866  Y 358661
X 640944  Y 370078
X 636614  Y 364173
X 598031  Y 374803
X 592125  Y 370078
X 586220  Y 364173
X 574015  Y 370078
X 568897  Y 364173
X 548818  Y 348818
X 548818  Y 380314
X 531102  Y 348818
X 521653  Y 380314
X 501574  Y 348818
X 490944  Y 374803
X 481102  Y 364173
X 460236  Y 353149
X 457086  Y 370078
X 361417  Y 374803
X 361417  Y 352362
X 361417  Y 344094
X 355905  Y 342125
X 355905  Y 379921
X 342913  Y 352362
X 342913  Y 377952
X 301968  Y 377952
X 268503  Y 342125
X 268110  Y 383464
X 261417  Y 377952
X 248425  Y 383464
X 236614  Y 351181
X 229133  Y 364173
X 229133  Y 383464
X 221653  Y 366535
X 192913  Y 383464
X 177559  Y 370078
X 145669  Y 376771
X 129527  Y 376771
X 123228  Y 353543
X 114566  Y 340944
X 108661  Y 377165
X 159842  Y 401968
X 164173  Y 401968
X 164960  Y 393307
X 182283  Y 393307
X 214173  Y 393307
X 235039  Y 425984
X 241732  Y 426377
X 349212  Y 397244
X 533070  Y 428740
X 558267  Y 428740
X 592913  Y 427559
X 596850  Y 418110
X 608267  Y 398818
X 619685  Y 403937
X 622440  Y 427952
X 629921  Y 424409
X 637401  Y 403937
X 638188  Y 423622
X 649212  Y 439763
X 753543  Y 439370
X 792125  Y 436614
X 762992  Y 485039
X 744488  Y 460236
X 649212  Y 485039
X 563779  Y 470078
X 558267  Y 475590
X 479921  Y 442519
X 432677  Y 463779
X 432283  Y 475196
X 425196  Y 486614
X 425196  Y 442519
